algorithm,maze_rows,maze_cols,density,trial,runtime,peak_memory,path_length,nodes_explored,success
BFS,10,10,0.3,1,9.450002107769251e-05,6328,18,65,1
DFS,10,10,0.3,1,0.00018339999951422215,5728,22,47,1
Astar,10,10,0.3,1,0.00012919993605464697,7896,18,39,1
ACO,10,10,0.3,1,0.12672549998387694,6808,18,19623,1
BFS,10,10,0.3,2,9.66999214142561e-05,6328,18,65,1
DFS,10,10,0.3,2,0.00020350003615021706,5728,24,58,1
Astar,10,10,0.3,2,0.00021399999968707561,7864,18,46,1
ACO,10,10,0.3,2,0.12448800005950034,7000,18,18140,1
BFS,10,10,0.3,3,0.00010920001659542322,6328,18,70,1
DFS,10,10,0.3,3,0.0001898000482469797,5696,28,52,1
Astar,10,10,0.3,3,0.00013860000763088465,7832,18,44,1
ACO,10,10,0.3,3,0.14879259990993887,7000,20,20635,1
BFS,10,10,0.3,4,0.00010599999222904444,6328,18,76,1
DFS,10,10,0.3,4,0.00020769995171576738,5664,22,57,1
Astar,10,10,0.3,4,0.00016029994003474712,7896,18,55,1
ACO,10,10,0.3,4,0.12828770000487566,6232,18,18873,1
BFS,10,10,0.3,5,0.00010060006752610207,6328,18,72,1
DFS,10,10,0.3,5,0.00014450005255639553,5760,30,39,1
Astar,10,10,0.3,5,0.00019340007565915585,7864,18,67,1
ACO,10,10,0.3,5,0.13591870001982898,6040,18,19880,1
BFS,10,10,0.3,6,0.00010579999070614576,6328,18,76,1
DFS,10,10,0.3,6,0.00022789998911321163,5728,22,65,1
Astar,10,10,0.3,6,0.0001620999537408352,7896,18,60,1
ACO,10,10,0.3,6,0.14744669990614057,6680,18,21902,1
BFS,10,10,0.3,7,9.26000066101551e-05,6328,18,64,1
DFS,10,10,0.3,7,0.00018319999799132347,5728,18,52,1
Astar,10,10,0.3,7,0.00014539994299411774,7832,18,53,1
ACO,10,10,0.3,7,0.1431066000368446,7000,18,20235,1
BFS,10,10,0.3,8,9.640003554522991e-05,6328,18,74,1
DFS,10,10,0.3,8,0.0001832999987527728,5792,20,51,1
Astar,10,10,0.3,8,0.00015059998258948326,7832,18,56,1
ACO,10,10,0.3,8,0.11532029998488724,6424,18,17593,1
BFS,10,10,0.3,9,9.360001422464848e-05,6328,18,71,1
DFS,10,10,0.3,9,0.00013520009815692902,5728,30,38,1
Astar,10,10,0.3,9,9.980006143450737e-05,5016,18,35,1
ACO,10,10,0.3,9,0.1190686000045389,6936,18,18224,1
BFS,10,10,0.3,10,0.00010250008199363947,6328,18,76,1
DFS,10,10,0.3,10,0.00012720003724098206,5728,22,34,1
Astar,10,10,0.3,10,0.00014729995746165514,7896,18,53,1
ACO,10,10,0.3,10,0.12312320002820343,6360,18,19158,1
BFS,10,10,0.3,11,0.00014480005484074354,6328,18,67,1
DFS,10,10,0.3,11,0.00013780000153928995,5696,20,39,1
Astar,10,10,0.3,11,0.0002226999495178461,7896,18,48,1
ACO,10,10,0.3,11,0.13139560003764927,6552,18,18344,1
BFS,10,10,0.3,12,8.950009942054749e-05,6328,18,62,1
DFS,10,10,0.3,12,0.0001012999564409256,4032,18,25,1
Astar,10,10,0.3,12,0.00013509998098015785,7832,18,47,1
ACO,10,10,0.3,12,0.11474579991772771,6872,18,17787,1
BFS,10,10,0.3,13,9.560002945363522e-05,6328,18,73,1
DFS,10,10,0.3,13,0.00010110007133334875,4032,24,28,1
Astar,10,10,0.3,13,0.00018259999342262745,7864,18,65,1
ACO,10,10,0.3,13,0.13465939997695386,6840,20,20733,1
BFS,10,10,0.3,14,0.00014140002895146608,6328,18,61,1
DFS,10,10,0.3,14,0.00014210003428161144,5792,34,39,1
Astar,10,10,0.3,14,0.00013970001600682735,7896,18,47,1
ACO,10,10,0.3,14,0.12184150004759431,6232,18,18158,1
BFS,10,10,0.3,15,7.940002251416445e-05,6328,20,61,1
DFS,10,10,0.3,15,0.00010710000060498714,5728,22,29,1
Astar,10,10,0.3,15,0.00012940005399286747,7832,20,49,1
ACO,10,10,0.3,15,0.15130789997056127,6360,20,18697,1
BFS,10,10,0.3,16,0.00014659995213150978,6328,18,57,1
DFS,10,10,0.3,16,0.00014329992700368166,5728,22,29,1
Astar,10,10,0.3,16,0.00016529997810721397,7832,18,52,1
ACO,10,10,0.3,16,0.13005269994027913,6104,18,18137,1
BFS,10,10,0.3,17,8.9599983766675e-05,6328,18,68,1
DFS,10,10,0.3,17,0.0001751999370753765,5728,22,51,1
Astar,10,10,0.3,17,0.0001428000396117568,7896,18,46,1
ACO,10,10,0.3,17,0.14799830003175884,7160,18,21343,1
BFS,10,10,0.3,18,9.790004696696997e-05,6328,18,65,1
DFS,10,10,0.3,18,0.00012800004333257675,5696,22,33,1
Astar,10,10,0.3,18,0.00013050006236881018,5016,18,34,1
ACO,10,10,0.3,18,0.10559260006994009,6808,18,15582,1
BFS,10,10,0.3,19,0.00011040002573281527,6328,18,75,1
DFS,10,10,0.3,19,0.000282399938441813,5728,26,45,1
Astar,10,10,0.3,19,0.0001713000237941742,7896,18,55,1
ACO,10,10,0.3,19,0.1303016000892967,6552,18,18333,1
BFS,10,10,0.3,20,8.919998072087765e-05,6328,18,54,1
DFS,10,10,0.3,20,0.00017220003064721823,5728,18,44,1
Astar,10,10,0.3,20,0.00016029994003474712,7832,18,51,1
ACO,10,10,0.3,20,0.11791350005660206,6360,18,17246,1
BFS,10,10,0.4,1,8.649996016174555e-05,6328,18,52,1
DFS,10,10,0.4,1,9.159999899566174e-05,4032,18,22,1
Astar,10,10,0.4,1,0.00011819996871054173,7832,18,39,1
ACO,10,10,0.4,1,0.10719819995574653,6360,18,17208,1
BFS,10,10,0.4,2,7.479998748749495e-05,6328,18,59,1
DFS,10,10,0.4,2,0.00012229999992996454,4032,18,36,1
Astar,10,10,0.4,2,8.779997006058693e-05,5048,18,28,1
ACO,10,10,0.4,2,0.11007670010440052,7000,18,18326,1
BFS,10,10,0.4,3,6.759993266314268e-05,6328,18,44,1
DFS,10,10,0.4,3,0.000116499955765903,4032,24,33,1
Astar,10,10,0.4,3,0.00010289996862411499,5072,18,28,1
ACO,10,10,0.4,3,0.14644409995526075,7000,18,18786,1
BFS,10,10,0.4,4,0.00010029994882643223,6328,18,65,1
DFS,10,10,0.4,4,0.0001278999261558056,4096,18,35,1
Astar,10,10,0.4,4,0.00013049994595348835,7896,18,40,1
ACO,10,10,0.4,4,0.10926549998112023,7000,18,16962,1
BFS,10,10,0.4,5,7.129996083676815e-05,6328,18,51,1
DFS,10,10,0.4,5,0.00011639995500445366,4000,24,28,1
Astar,10,10,0.4,5,8.429994340986013e-05,5048,18,27,1
ACO,10,10,0.4,5,0.13906449999194592,7256,22,22523,1
BFS,10,10,0.4,6,8.199992589652538e-05,6328,18,51,1
DFS,10,10,0.4,6,0.00014340004418045282,5728,18,37,1
Astar,10,10,0.4,6,0.00011490005999803543,5072,18,35,1
ACO,10,10,0.4,6,0.102625000057742,6616,18,15634,1
BFS,10,10,0.4,7,9.990006219595671e-05,6328,20,67,1
DFS,10,10,0.4,7,0.0001235000090673566,4032,22,32,1
Astar,10,10,0.4,7,0.00017280003521591425,7864,20,49,1
ACO,10,10,0.4,7,0.17758649995084852,18072,24,27017,1
BFS,10,10,0.4,8,9.949994273483753e-05,6328,18,70,1
DFS,10,10,0.4,8,0.0001604000572115183,5728,18,48,1
Astar,10,10,0.4,8,0.00011760008055716753,7832,18,38,1
ACO,10,10,0.4,8,0.11834249994717538,6360,18,18829,1
